ReferenceNumber,Make,PropulsionTypeId,BodyTypeId,GovRegion,KeeperTitleId,EngineSize,YearRegistered,Mass,CO2,CO,NOX,part,hc,Random number
2730,FORD,1,13,North West,2,1242,2016,989,115,0.362,0.024,,0.043,0.537635509
588,BMW,1,3,London,1,2979,2002,0,230,0.447,,,,0.408561376
737,BMW,2,13,North West,1,1995,2002,1505,185,0.203,0.375,0.036,,0.981020299
2274,VOLKSWAGEN,2,6,South West,5,1968,2016,1503,110,0.137,0.067,,,0.783414895
908,FORD,1,14,London,1,1388,2002,1097,158,0.562,0.026,,0.08,0.763822326
3452,VAUXHALL,1,14,South West,1,999,2016,1263,102,0.328,0.026,0.002,0.028,0.302479571
3446,VOLKSWAGEN,1,14,South West,2,1395,2016,1247,122,0.158,0.034,,0.028,0.895801425
2743,VAUXHALL,2,14,South West,5,1598,2016,1462,134,0.058,0.054,,,0.243423952
2335,BMW,2,14,London,5,1496,2016,1395,106,0.172,0.028,,,0.171238343
3331,VOLKSWAGEN,1,6,London,5,1984,2016,1574,162,0.609,0.047,,0.06,0.9743403
2364,BMW,1,5,South West,5,1998,2016,1565,151,0.221,0.019,,0.054,0.763476999
1493,BMW,1,4,London,2,1998,2016,1790,144,0.151,0.025,,0.04,0.2687019
921,BMW,1,2,London,1,2171,2002,1600,237,0.832,0.005,,0.091,0.066773286
3523,VOLKSWAGEN,1,14,South West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.015183535
3239,FORD,2,14,South West,5,1997,2016,1681,122,0.145,0.059,0.001,,0.179123422
1949,FORD,1,96,London,5,1596,2016,1431,149,0.342,0.051,,0.056,0.71584747
2662,BMW,2,5,London,1,2993,2016,1680,139,0.25,0.058,,,0.323431824
2016,FORD,1,14,North West,1,998,2016,1177,99,0.355,0.041,0.001,0.067,0.715424642
2409,BMW,2,6,London,1,2993,2016,2265,173,0.191,0.049,,,0.641853867
1669,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.994605583
2679,VAUXHALL,1,14,London,5,1364,2016,1409,149,0.699,0.008,,0.044,0.541250617
3822,VAUXHALL,2,14,South West,1,1598,2016,1350,103,0.17,0.032,0.001,,0.230582455
2170,VAUXHALL,1,14,South West,1,1398,2016,1163,118,0.463,0.01,,0.031,0.927136859
2549,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.520107078
3636,VAUXHALL,1,14,South West,2,1398,2016,1163,118,0.463,0.01,,0.031,0.949646071
1293,VAUXHALL,1,14,London,1,1199,2002,1430,149,0.253,0.029,,0.054,0.579930966
871,TOYOTA,1,5,London,2,1794,2002,0,185,,,,,0.223594998
1469,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.761955905
1021,BMW,1,6,North West,1,4619,2002,2180,356,1.231,0.068,,0.169,0.727935775
693,TOYOTA,1,13,North West,2,1299,2002,1040,144,0.88,0.04,,0.1,0.406557269
2866,FORD,1,14,North West,5,999,2016,1382,125,0.451,0.036,0.001,0.072,0.724441025
1101,FORD,1,13,South West,2,1299,2002,965,154,0.395,0.103,,0.061,0.920957534
2931,BMW,2,6,South West,5,2993,2016,2185,159,0.161,0.057,,,0.338357715
338,FORD,1,6,South West,2,1596,2002,1180,163,0.518,0.059,,0.115,0.511757224
33,FORD,2,14,London,2,1753,2002,1280,145,0.109,0.489,0.044,0.018,0.060694641
3637,FORD,1,14,South West,1,1498,2016,1380,127,0.471,0.018,0.001,0.057,0.19510167
1834,FORD,1,13,North West,1,1596,2016,1211,138,0.3,0.01,0.001,0.052,0.709367085
1655,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.805611967
3395,BMW,2,5,South West,5,1995,2016,1825,136,0.144,0.035,,,0.533706885
1381,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.445238419
2622,VOLKSWAGEN,1,13,London,1,999,2016,1055,106,0.407,0.016,,0.034,0.646952753
1586,VAUXHALL,2,14,South West,5,1248,2016,1225,85,0.141,0.063,,,0.442960865
3772,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.199270615
1878,VAUXHALL,1,14,South West,5,1398,2016,1199,139,0.645,0.008,,0.044,0.617172047
250,BMW,1,5,South West,1,2979,2002,1505,218,0.269,0.009,,0.048,0.380053869
3604,TOYOTA,2,6,South West,5,1995,2016,1650,123,0.274,0.025,,,0.884519706
1613,BMW,2,6,South West,2,1995,2016,1820,139,0.144,0.035,,,0.798594027
861,FORD,1,3,South West,1,1596,2002,0,165,0.518,,,,0.6417042
979,VAUXHALL,1,14,North West,1,1598,2002,1660,171,0.695,0.019,,0.054,0.950517191
3519,FORD,2,14,South West,5,1997,2016,1642,109,0.177,0.042,,,0.701034759
583,TOYOTA,1,5,South West,1,1794,2002,1260,185,1.22,0.03,,0.13,0.115737268
424,VAUXHALL,1,6,South West,1,1598,2002,1730,175,0.695,0.019,,0.054,0.11207886
2332,VAUXHALL,1,13,London,2,1398,2016,1141,120,0.463,0.01,,0.031,0.770564234
3348,VOLKSWAGEN,1,14,London,2,1395,2016,1247,120,0.158,0.034,,0.028,0.969350255
1282,TOYOTA,1,14,South West,2,998,2002,0,137,0.43,,,,0.56293021
483,VAUXHALL,1,14,South West,1,1389,2002,1660,173,0.247,0.023,,0.094,0.466204024
1606,VAUXHALL,1,13,North West,5,1364,2016,1437,142,0.58,0.014,,0.034,0.948933024
2351,BMW,2,6,South West,5,1995,2016,1810,123,0.144,0.031,,,0.427600195
1970,FORD,2,14,North West,2,1499,2016,1183,82,0.358,0.062,,,0.113677099
1313,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.614416945
2500,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.271757182
3606,BMW,2,14,North West,2,1496,2016,1395,103,0.172,0.028,,,0.353721218
3500,VOLKSWAGEN,1,14,South West,2,1197,2016,1229,113,0.236,0.024,,0.026,0.921034178
2196,VOLKSWAGEN,1,14,South West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.220482222
3727,FORD,1,96,South West,2,998,2016,1327,119,0.32,0.045,0.001,0.051,0.128224307
170,VAUXHALL,1,14,North West,1,1389,2002,1660,173,0.247,0.023,,0.094,0.164560564
484,BMW,1,6,London,1,2979,2002,2095,310,0.582,0.015,,0.065,0.275234598
3647,VOLKSWAGEN,2,5,South West,1,1968,2016,1375,109,0.212,0.049,,,0.795634392
920,BMW,2,2,North West,2,1995,2002,1490,148,0.101,0.377,0.037,,0.217903435
2474,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.264647818
624,VAUXHALL,1,2,South West,1,3175,2002,2200,284,0.33,0.055,,0.132,0.530207999
1965,FORD,2,14,South West,5,1499,2016,1553,94,0.407,0.07,,,0.031976694
1472,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.7752854
3447,BMW,2,6,South West,5,1995,2016,1545,114,0.145,0.026,,,0.48599064
3305,VOLKSWAGEN,2,96,London,5,1968,2016,1843,136,0.052,0.06,,,0.359228928
1077,FORD,2,14,South West,1,1753,2002,1288,145,0.347,0.489,0.044,0.042,0.55507858
53,VOLKSWAGEN,1,13,London,1,1596,2002,1285,185,0.53,0.031,,0.055,0.340370132
2130,VOLKSWAGEN,1,13,North West,2,1984,2016,1382,139,0.341,0.056,,0.053,0.145704089
3126,VAUXHALL,1,14,South West,5,1398,2016,1163,120,0.463,0.01,,0.031,0.888907235
195,TOYOTA,1,13,London,1,998,2002,1040,137,0.43,0.03,,0.12,0.361456855
3526,TOYOTA,1,14,South West,5,998,2016,955,97,0.453,0.013,,0.032,0.06693713
492,FORD,1,14,London,2,1242,2002,1017,161,0.296,0.061,,0.054,0.838271613
448,VAUXHALL,1,14,South West,1,1199,2002,1455,154,0.211,0.031,,0.052,0.399435345
2467,BMW,1,14,South West,1,2979,2016,1525,175,0.613,0.019,,0.048,0.883891923
278,BMW,1,4,South West,2,2171,2002,1355,222,1.02,0.037,,0.127,0.303252589
1325,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.903281741
3428,VAUXHALL,2,14,North West,5,1598,2016,1613,129,0.013,0.033,,,0.10875032
3478,VOLKSWAGEN,2,5,South West,5,1968,2016,1395,119,0.143,0.036,,,0.76099006
3808,FORD,1,14,South West,5,1498,2016,1377,149,0.297,0.037,,0.034,0.362066795
2646,VOLKSWAGEN,1,14,London,2,999,2016,1055,106,0.407,0.016,,0.034,0.482374775
37,FORD,1,14,London,2,1388,2002,1105,153,0.644,0.048,,0.064,0.984803782
3662,BMW,8,2,South West,5,1998,2016,1735,49,0.082,0.006,,0.017,0.368114382
1808,VAUXHALL,1,14,North West,2,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.037335097
3661,VAUXHALL,1,6,South West,1,1399,2016,1322,130,0.644,0.017,0.002,0.057,0.626404141
1764,VAUXHALL,1,6,South West,5,1399,2016,1322,130,0.644,0.017,0.002,0.057,0.274157297
3492,BMW,2,6,South West,1,1995,2016,1605,119,0.142,0.032,,,0.020673208
1676,FORD,2,96,South West,5,1997,2016,1828,129,0.239,0.048,,,0.041066261
374,VOLKSWAGEN,1,2,London,1,1781,2002,1493,197,0.35,0.037,,0.032,0.709119923
2760,TOYOTA,8,6,North West,1,1798,2016,1490,83,0.182,0.005,,0.036,0.150253918
805,BMW,1,5,North West,1,2171,2002,1500,226,0.498,0.014,,0.105,0.07668636
11,TOYOTA,1,14,South West,2,1299,2002,1050,144,,0.04,,0.1,0.145531587
1778,VAUXHALL,1,96,London,1,1398,2016,1361,140,0.695,0.028,,0.05,0.607688222
3530,BMW,8,14,South West,1,647,2016,1390,13,0.053,0.002,,0.003,0.01576922
380,VOLKSWAGEN,2,6,North West,1,1896,2002,1565,154,0.151,0.382,0.023,,0.582155537
44,FORD,1,14,South West,1,1388,2002,1105,158,0.644,0.048,,0.064,0.148506377
3184,BMW,1,2,North West,1,1998,2016,1605,137,0.151,0.025,,0.04,0.422962628
605,FORD,1,14,London,1,1596,2002,1189,192,0.518,0.059,,0.115,0.80737372
806,VOLKSWAGEN,1,14,London,2,1200,2002,1120,142,0.474,0.015,,0.032,0.688778806
2902,FORD,1,14,North West,2,1242,2016,1095,122,0.518,0.027,,0.051,0.651147425
1761,FORD,2,14,South West,5,1499,2016,1399,98,0.354,0.074,,,0.103366501
899,VOLKSWAGEN,2,6,South West,1,1896,2002,1597,159,0.181,0.313,0.04,,0.694150455
749,VOLKSWAGEN,1,13,South West,1,1198,2002,1092,142,0.474,0.015,,0.032,0.021699492
522,BMW,1,5,London,1,2494,2002,1520,229,0.255,0.013,,0.086,0.07771521
3612,VOLKSWAGEN,1,14,South West,5,1197,2016,1107,107,0.157,0.039,,0.022,0.280886348
1477,BMW,8,6,South West,5,1997,2016,2305,77,0.185,0.015,,0.014,0.816334155
1728,VAUXHALL,1,14,North West,1,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.292558531
1743,VOLKSWAGEN,1,14,South West,5,1984,2016,1486,165,0.522,0.05,,0.053,0.678236849
14,FORD,1,14,London,2,1596,2002,1167,165,0.518,0.059,,0.115,0.61608955
2485,BMW,2,6,South West,5,1995,2016,1810,118,0.144,0.031,,,0.285675372
2275,VOLKSWAGEN,1,96,London,2,1395,2016,1362,125,0.158,0.034,,0.028,0.709372588
274,BMW,1,5,London,5,2979,2002,1540,230,0.447,0.013,,0.062,0.737230287
681,FORD,1,14,North West,2,1596,2002,1189,192,0.518,0.059,,0.115,0.066023746
1760,FORD,1,14,North West,1,999,2016,1333,108,0.447,0.03,0.002,0.076,0.154042669
501,FORD,1,14,North West,2,1242,2002,1017,161,0.296,0.061,,0.054,0.323748552
2772,BMW,2,2,North West,1,1995,2016,1705,109,0.144,0.031,,,0.427576926
1240,FORD,2,6,North West,1,1753,2002,1295,143,0.109,0.489,0.044,0.018,0.959072132
1672,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.12717547
1597,BMW,2,2,North West,1,1995,2016,1705,109,0.144,0.031,,,0.585160712
1002,FORD,1,14,London,2,1388,2002,1163,158,0.662,0.052,,0.137,0.906885558
3364,VOLKSWAGEN,2,6,South West,5,1968,2016,1503,110,0.137,0.067,,,0.756847817
1890,VOLKSWAGEN,1,13,London,1,1984,2016,1495,159,0.609,0.047,,0.06,0.180810777
3747,VAUXHALL,1,13,South West,2,1398,2016,1141,118,0.463,0.01,,0.031,0.645230593
2283,BMW,2,6,South West,1,2993,2016,1945,157,0.206,0.052,,,0.749647801
2653,VAUXHALL,1,14,London,5,1399,2016,1308,127,0.484,0.006,0.002,0.037,0.862616503
783,BMW,1,2,North West,1,2494,2002,1485,217,0.494,0.017,,0.079,0.898118893
2818,FORD,1,14,North West,1,998,2016,1335,125,0.428,0.037,0.001,0.053,0.600942576
3098,FORD,1,13,South West,5,998,2016,1170,99,0.355,0.041,0.001,0.067,0.422132295
1108,BMW,1,4,London,4,2979,2002,1660,229,0.269,0.009,,0.048,0.550390049
755,FORD,1,14,South West,5,1388,2002,1163,158,0.662,0.052,,0.137,0.098353739
3113,BMW,1,2,South West,1,2979,2016,1635,194,0.139,0.035,,0.035,0.290374986
1432,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.479900972
3377,VAUXHALL,2,14,North West,1,1598,2016,1613,129,0.013,0.033,,,0.453281036
1542,VAUXHALL,1,14,South West,1,999,2016,1263,102,0.328,0.026,0.002,0.028,0.680423719
3520,VAUXHALL,2,96,South West,5,1598,2016,1701,109,0.295,0.053,,,0.40320972
2929,FORD,2,14,South West,5,1997,2016,1642,112,0.177,0.042,,,0.379489164
2294,VOLKSWAGEN,2,96,London,1,1968,2016,1845,138,0.062,0.064,,,0.188363447
155,TOYOTA,2,6,North West,1,1995,2002,1505,161,0.33,0.49,0.044,,0.701436347
3067,BMW,8,5,London,1,1499,2016,1560,49,0.176,0.011,,0.007,0.655620666
481,FORD,2,14,South West,2,1399,2002,1166,121,0.154,0.423,0.036,,0.951359387
974,VAUXHALL,1,13,North West,2,973,2002,1430,135,0.342,0.048,,0.06,0.360963411
3297,VOLKSWAGEN,1,13,South West,2,999,2016,929,105,0.457,0.013,,0.039,0.616190776
2399,FORD,1,96,London,1,998,2016,1327,119,0.32,0.045,0.001,0.051,0.338318838
554,TOYOTA,1,14,London,1,1299,2002,1000,160,0.7,0.05,,0.12,0.134848576
197,FORD,1,2,North West,1,1988,2002,1261,222,0.698,0.058,,0.056,0.029820236
3183,FORD,2,14,North West,1,1997,2016,1681,122,0.145,0.059,0.001,,0.1709658
2861,FORD,1,14,North West,1,1242,2016,1095,122,0.518,0.027,,0.051,0.885890422
3042,BMW,2,6,North West,5,1995,2016,1505,109,0.222,0.037,,,0.890799854
1190,BMW,2,3,South West,1,2926,2002,0,178,0.327,,,,0.578066175
797,BMW,1,2,London,2,2979,2002,1540,230,0.447,0.013,,0.062,0.144677608
993,VOLKSWAGEN,1,13,South West,2,1198,2002,1103,142,0.68,0.042,,0.03,0.919213802
1238,VOLKSWAGEN,2,13,South West,1,1896,2002,1352,140,0.081,0.376,0.029,,0.435739431
766,VOLKSWAGEN,1,14,London,2,1198,2002,1132,142,0.474,0.015,,0.032,0.684938796
2202,VAUXHALL,1,14,South West,2,1598,2016,1355,159,0.809,0.012,,0.051,0.449279331
2471,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.834556235
2994,FORD,1,14,North West,1,999,2016,1329,105,0.436,0.03,0.001,0.065,0.30868479
2292,FORD,2,14,North West,5,1997,2016,1642,107,0.183,0.046,,,0.238503996
3632,VOLKSWAGEN,1,14,South West,1,1197,2016,1107,107,0.157,0.039,,0.022,0.77353095
1199,VOLKSWAGEN,1,14,South West,2,1598,2002,0,166,0.259,0.043,1.276,0.056,0.621770725
1796,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.243702086
1040,TOYOTA,1,13,London,1,998,2002,1040,137,0.43,0.03,,0.12,0.592043244
2910,FORD,1,14,North West,1,1242,2016,1095,122,0.518,0.027,,0.051,0.356178868
547,VOLKSWAGEN,1,13,North West,1,1781,2002,1324,190,0.667,0.03,,0.054,0.33785417
3191,BMW,1,14,North West,1,2979,2016,1525,175,0.613,0.019,,0.048,0.877183043
2426,FORD,2,14,South West,5,1499,2016,1183,82,0.358,0.062,,,0.344000962
3205,FORD,2,96,North West,5,1499,2016,1619,129,0.259,0.065,,,0.810310815
382,VOLKSWAGEN,2,14,South West,1,1896,2002,1414,146,0.177,0.363,0.024,,0.457585575
199,TOYOTA,1,14,North West,1,1398,2002,1285,159,0.47,0.02,,0.07,0.956721193
84,VOLKSWAGEN,1,14,London,1,1198,2002,1132,142,0.474,0.015,,0.032,0.570478918
2306,VOLKSWAGEN,2,2,South West,5,1968,2016,1475,106,0.137,0.067,,,0.026037076
649,FORD,1,14,North West,2,1388,2002,1163,158,0.662,0.052,,0.137,0.057747274
2405,FORD,1,14,London,5,1498,2016,1377,149,0.297,0.037,,0.034,0.513740853
1436,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.816735236
1687,VAUXHALL,1,13,North West,1,1398,2016,1141,120,0.463,0.01,,0.031,0.574397031
2334,BMW,2,6,London,1,1995,2016,1605,115,0.142,0.032,,,0.25987387
2754,VOLKSWAGEN,1,14,South West,5,1984,2016,1505,159,0.609,0.047,,0.06,0.558943213
3058,FORD,1,96,South West,5,999,2016,1449,117,0.473,0.035,0.003,0.056,0.540967259
1501,VAUXHALL,1,14,North West,1,1598,2016,1355,159,0.809,0.012,,0.051,0.323672974
680,VOLKSWAGEN,1,13,North West,2,1390,2002,1170,156,0.165,0.047,,0.075,0.692616387
745,FORD,1,14,London,4,1388,2002,1105,153,0.644,0.048,,0.064,0.924600707
2194,VAUXHALL,1,13,South West,2,1364,2016,1199,132,0.644,0.014,,0.025,0.317526095
1352,VOLKSWAGEN,2,96,South West,5,1968,2016,1868,159,0.178,0.051,,,0.87259834
3005,FORD,1,14,North West,1,999,2016,1329,105,0.436,0.03,0.001,0.065,0.901860571
2501,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.489759938
1642,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.236994362
3741,FORD,1,14,South West,1,999,2016,1329,105,0.436,0.03,0.001,0.065,0.404971127
2999,VAUXHALL,2,6,North West,5,1598,2016,1393,96,0.243,0.029,,,0.931779531
660,FORD,1,14,North West,1,1388,2002,1097,153,0.562,0.026,,0.08,0.963563477
10,VOLKSWAGEN,2,14,North West,4,1896,2002,0,146,0.081,,,,0.867533726
1936,TOYOTA,8,14,London,4,1798,2016,1470,70,0.131,0.016,,0.033,0.536220126
2458,FORD,1,14,London,5,999,2016,1382,125,0.451,0.036,0.001,0.072,0.036025611
2076,TOYOTA,1,14,North West,2,998,2016,955,95,0.59,0.008,,0.033,0.401937749
2935,VAUXHALL,1,14,North West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.104994713
3383,VOLKSWAGEN,1,14,South West,2,999,2016,1055,108,0.535,0.012,,0.039,0.794463242
1081,VOLKSWAGEN,1,13,South West,2,999,2002,983,139,0.209,0.025,,0.071,0.039364319
2104,FORD,2,6,South West,5,1499,2016,1575,99,0.407,0.07,,,0.235157395
2441,VAUXHALL,1,13,London,2,1229,2016,1086,125,0.474,0.013,,0.038,0.240942656
2055,FORD,1,14,London,5,998,2016,1177,99,0.355,0.041,0.001,0.067,0.811376894
3807,FORD,2,14,South West,5,1997,2016,1642,109,0.177,0.042,,,0.418933519
762,VOLKSWAGEN,2,14,South West,1,1896,2002,1397,146,0.081,0.376,0.029,,0.830448443
2597,FORD,1,14,London,2,1242,2016,1095,122,0.518,0.027,,0.051,0.655031764
124,FORD,1,14,South West,1,1596,2002,1167,165,0.518,0.059,,0.115,0.231147118
2783,BMW,1,14,North West,1,1499,2016,1395,119,0.215,0.01,,0.037,0.99914025
2393,VAUXHALL,2,14,London,5,1598,2016,1613,109,0.035,0.026,,,0.488857569
2127,BMW,2,4,South West,2,1995,2016,1790,124,0.128,0.023,,,0.545947413
1188,VAUXHALL,1,13,North West,1,1199,2002,1455,149,0.253,0.029,,0.054,0.153579779
3453,BMW,1,2,London,4,1998,2016,1505,138,0.213,0.022,,0.053,0.960355645
3779,BMW,2,6,South West,1,1995,2016,1625,129,0.103,0.018,,,0.469000814
1254,TOYOTA,1,14,London,1,1299,2002,0,160,0.7,0.05,,0.12,0.006022128
2606,FORD,2,96,London,2,1997,2016,1849,149,0.179,0.039,,,0.294268048
259,VAUXHALL,1,96,North West,4,1598,2002,1970,190,0.219,0.026,,0.037,0.912807185
888,BMW,1,4,South West,1,2979,2002,0,244,0.447,,,,0.746711469
2157,VAUXHALL,1,14,London,5,1364,2016,1409,149,0.699,0.008,,0.044,0.604422859
2740,VAUXHALL,1,13,North West,5,1364,2016,1471,154,0.362,0.015,,0.027,0.194604395
2269,VAUXHALL,2,14,South West,5,1598,2016,1350,97,0.243,0.029,,,0.269572396
2141,BMW,1,13,South West,5,1499,2016,1375,126,0.164,0.016,,0.041,0.291859996
3595,FORD,2,96,North West,5,1499,2016,1596,119,0.353,0.076,0.001,,0.63661052
1259,FORD,1,14,South West,1,1798,2002,1396,187,0.375,0.091,,0.077,0.334669553
515,VOLKSWAGEN,1,2,South West,1,2771,2002,1729,264,0.295,0.012,,0.058,0.802453907
3351,VOLKSWAGEN,2,2,South West,5,1968,2016,1549,119,0.081,0.058,,,0.847714131
2735,TOYOTA,8,14,South West,5,1798,2016,1470,70,0.131,0.016,,0.033,0.369991391
774,VOLKSWAGEN,2,14,North West,1,1896,2002,0,138,0.025,0.33,1.379,,0.716764172
499,TOYOTA,1,6,London,2,1299,2002,0,144,0.88,0.04,,0.1,0.976659592
1886,VAUXHALL,1,14,South West,5,1399,2016,1278,128,0.632,0.01,0.002,0.039,0.425092542
3362,FORD,2,96,South West,5,1997,2016,1643,119,0.278,0.051,,,0.221285905
3345,VOLKSWAGEN,2,14,South West,5,1968,2016,1373,112,0.1,0.07,,,0.411877626
2401,FORD,1,14,London,2,998,2016,1177,99,0.355,0.041,0.001,0.067,0.557083517
3360,FORD,2,14,South West,5,1997,2016,1642,107,0.183,0.046,,,0.324271122
3686,FORD,1,14,South West,2,998,2016,1177,99,0.355,0.041,0.001,0.067,0.70479471
3334,VAUXHALL,1,13,South West,5,1598,2016,1278,174,0.519,0.026,,0.034,0.070756546
71,FORD,1,14,South West,2,1596,2002,1167,165,0.518,0.059,,0.115,0.740786927
615,BMW,1,5,South West,1,2494,2002,0,217,0.494,,,,0.882815575
161,VAUXHALL,1,96,North West,1,1998,2002,2065,243,0.39,0.047,,0.073,0.544130355
990,VOLKSWAGEN,1,14,South West,5,1198,2002,1153,142,0.68,0.042,,0.03,0.508773269
244,FORD,1,14,London,4,1242,2002,1017,161,0.296,0.061,,0.054,0.664803381
1399,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.495937686
915,BMW,2,6,London,1,2926,2002,0,186,0.323,,,,0.198919647
2027,FORD,2,14,South West,5,1499,2016,1183,82,0.358,0.062,,,0.90440272
